"location_id","country","latitude","longitude","year"
24,"Egypt","26.820553","30.802498",360
24,"Egypt","26.820553","30.802498",361
169,"Iran","32.427908","53.688046",363
211,"Albania","41.153332","20.168331",378
211,"Albania","41.153332","20.168331",379
185,"Montenegro","42.708678","19.37439",378
185,"Montenegro","42.708678","19.37439",379
218,"Kosovo","42.602636","20.902977",378
218,"Kosovo","42.602636","20.902977",379
193,"Croatia","45.1","15.2",378
193,"Croatia","45.1","15.2",379
212,"Bosnia and Herzegovina","43.915886","17.679076",378
212,"Bosnia and Herzegovina","43.915886","17.679076",379
179,"Serbia","44.016521","21.005859",378
179,"Serbia","44.016521","21.005859",379
171,"Slovenia","46.151241","14.995463",378
171,"Slovenia","46.151241","14.995463",379
202,"Greece","39.074208","21.824312",383
178,"Bulgaria","42.733883","25.48583",383
211,"Albania","41.153332","20.168331",383
179,"Serbia","44.016521","21.005859",383
218,"Kosovo","42.602636","20.902977",383
151,"Turkey","38.963745","35.243322",384
151,"Turkey","38.963745","35.243322",385
202,"Greece","39.074208","21.824312",385
202,"Greece","39.074208","21.824312",386
204,"Italy","41.87194","12.56738",397
204,"Italy","41.87194","12.56738",398
204,"Italy","41.87194","12.56738",400
202,"Greece","39.074208","21.824312",400
151,"Turkey","38.963745","35.243322",400
168,"Syria","34.802075","38.996815",400
210,"Spain","40.463667","-3.74922",400
209,"Portugal","39.399872","-8.224454",400
26,"Morocco","31.791702","-7.09262",400
23,"Tunisia","33.886917","9.537499",400
22,"Libya","26.3351","17.228331",400
25,"Algeria","28.033886","1.659626",400
24,"Egypt","26.820553","30.802498",400
179,"Serbia","44.016521","21.005859",400
151,"Turkey","38.963745","35.243322",406
151,"Turkey","38.963745","35.243322",407
204,"Italy","41.87194","12.56738",408
210,"Spain","40.463667","-3.74922",410
192,"Slovakia","48.669026","19.699024",434
221,"Austria","47.516231","14.550072",434
179,"Serbia","44.016521","21.005859",434
171,"Slovenia","46.151241","14.995463",434
212,"Bosnia and Herzegovina","43.915886","17.679076",434
193,"Croatia","45.1","15.2",434
189,"Hungary","47.162494","19.503304",434
151,"Turkey","38.963745","35.243322",440
151,"Turkey","38.963745","35.243322",445
151,"Turkey","38.963745","35.243322",446
231,"United Kingdom","55.378051","-3.435973",446
151,"Turkey","38.963745","35.243322",447
151,"Turkey","38.963745","35.243322",451
151,"Turkey","38.963745","35.243322",452
151,"Turkey","38.963745","35.243322",453
151,"Turkey","38.963745","35.243322",454
22,"Libya","26.3351","17.228331",451
22,"Libya","26.3351","17.228331",452
22,"Libya","26.3351","17.228331",453
22,"Libya","26.3351","17.228331",454
167,"Israel","31.046051","34.851612",451
167,"Israel","31.046051","34.851612",452
167,"Israel","31.046051","34.851612",453
167,"Israel","31.046051","34.851612",454
170,"Lebanon","33.854721","35.862285",451
170,"Lebanon","33.854721","35.862285",452
170,"Lebanon","33.854721","35.862285",453
170,"Lebanon","33.854721","35.862285",454
164,"Jordan","30.585164","36.238414",451
164,"Jordan","30.585164","36.238414",452
164,"Jordan","30.585164","36.238414",453
164,"Jordan","30.585164","36.238414",454
204,"Italy","41.87194","12.56738",451
204,"Italy","41.87194","12.56738",452
204,"Italy","41.87194","12.56738",467
230,"Ireland","53.41291","-8.24389",470
204,"Italy","41.87194","12.56738",471
151,"Turkey","38.963745","35.243322",494
151,"Turkey","38.963745","35.243322",495
151,"Turkey","38.963745","35.243322",496
151,"Turkey","38.963745","35.243322",500
151,"Turkey","38.963745","35.243322",501
