"location_id","country","capitallongitude","capitallatitude","year"
154,"Armenia","44.500000","40.166666666666664",310
181,"Cyprus","33.366667","35.166666666666664",312
181,"Cyprus","33.366667","35.166666666666664",313
151,"Turkey","32.866667","39.93333333333333",312
151,"Turkey","32.866667","39.93333333333333",313
202,"Greece","23.733333","37.983333333333334",312
202,"Greece","23.733333","37.983333333333334",313
170,"Lebanon","35.500000","33.86666666666667",312
170,"Lebanon","35.500000","33.86666666666667",313
168,"Syria","36.300000","33.5",312
168,"Syria","36.300000","33.5",313
166,"Palestine","35.233333","31.766666666666666",312
166,"Palestine","35.233333","31.766666666666666",313
167,"Israel","35.233333","31.766666666666666",312
167,"Israel","35.233333","31.766666666666666",313
169,"Iran","51.416667","35.7",312
169,"Iran","51.416667","35.7",313
164,"Jordan","35.933333","31.95",312
164,"Jordan","35.933333","31.95",313
24,"Egypt","31.250000","30.05",312
24,"Egypt","31.250000","30.05",313
168,"Syria","36.300000","33.5",333
204,"Italy","12.483333","41.9",333
24,"Egypt","31.250000","30.05",346
202,"Greece","23.733333","37.983333333333334",350
151,"Turkey","32.866667","39.93333333333333",359
168,"Syria","36.300000","33.5",359
165,"Iraq","44.400000","33.333333333333336",359
169,"Iran","51.416667","35.7",359
151,"Turkey","32.866667","39.93333333333333",360
24,"Egypt","31.250000","30.05",360
24,"Egypt","31.250000","30.05",361
169,"Iran","51.416667","35.7",363
211,"Albania","19.816667","41.31666666666667",378
211,"Albania","19.816667","41.31666666666667",379
185,"Montenegro","19.266667","42.43333333333333",378
185,"Montenegro","19.266667","42.43333333333333",379
218,"Kosovo","21.166667","42.666666666666664",378
218,"Kosovo","21.166667","42.666666666666664",379
193,"Croatia","16.000000","45.8",378
193,"Croatia","16.000000","45.8",379
212,"Bosnia and Herzegovina","18.416667","43.86666666666667",378
212,"Bosnia and Herzegovina","18.416667","43.86666666666667",379
179,"Serbia","20.500000","44.833333333333336",378
179,"Serbia","20.500000","44.833333333333336",379
171,"Slovenia","14.516667","46.05",378
171,"Slovenia","14.516667","46.05",379
202,"Greece","23.733333","37.983333333333334",383
186,"North Macedonia",41.608635,21.745275,383
178,"Bulgaria","23.316667","42.68333333333333",383
211,"Albania","19.816667","41.31666666666667",383
179,"Serbia","20.500000","44.833333333333336",383
218,"Kosovo","21.166667","42.666666666666664",383
151,"Turkey","32.866667","39.93333333333333",384
151,"Turkey","32.866667","39.93333333333333",385
202,"Greece","23.733333","37.983333333333334",385
202,"Greece","23.733333","37.983333333333334",386
204,"Italy","12.483333","41.9",397
204,"Italy","12.483333","41.9",398
204,"Italy","12.483333","41.9",400
202,"Greece","23.733333","37.983333333333334",400
151,"Turkey","32.866667","39.93333333333333",400
168,"Syria","36.300000","33.5",400
210,"Spain","-3.683333","40.4",400
209,"Portugal","-9.133333","38.71666666666667",400
26,"Morocco","-6.816667","34.016666666666666",400
23,"Tunisia","10.183333","36.8",400
22,"Libya","13.166667","32.88333333333333",400
25,"Algeria","3.050000","36.75",400
24,"Egypt","31.250000","30.05",400
179,"Serbia","20.500000","44.833333333333336",400
166,"Palestine","35.233333","31.766666666666666",406
151,"Turkey","32.866667","39.93333333333333",406
151,"Turkey","32.866667","39.93333333333333",407
204,"Italy","12.483333","41.9",408
210,"Spain","-3.683333","40.4",410
192,"Slovakia","17.116667","48.15",434
221,"Austria","16.366667","48.2",434
179,"Serbia","20.500000","44.833333333333336",434
171,"Slovenia","14.516667","46.05",434
212,"Bosnia and Herzegovina","18.416667","43.86666666666667",434
193,"Croatia","16.000000","45.8",434
189,"Hungary","19.083333","47.5",434
151,"Turkey","32.866667","39.93333333333333",440
151,"Turkey","32.866667","39.93333333333333",445
